No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 2-1;Conv2d: 2-1;1.229312;0.5776949204475289
2;Bottleneck: 3-1;Conv2d: 4-1;0.10035200000000001;0.09001687624251174
3;Bottleneck: 3-1;Conv2d: 4-4;0.903168;0.5053191692721736
4;Bottleneck: 3-1;Conv2d: 4-7;0.40140800000000004;0.307634397570367
5;Bottleneck: 3-1;Conv2d: 5-1;0.40140800000000004;0.307634397570367
6;Bottleneck: 3-2;Conv2d: 4-11;0.40140800000000004;0.3491507914803972
7;Bottleneck: 3-2;Conv2d: 4-14;0.903168;0.5053191692721736
8;Bottleneck: 3-2;Conv2d: 4-17;0.40140800000000004;0.307634397570367
9;Bottleneck: 3-3;Conv2d: 4-20;0.40140800000000004;0.3491507914803972
10;Bottleneck: 3-3;Conv2d: 4-23;0.903168;0.5053191692721736
11;Bottleneck: 3-3;Conv2d: 4-26;0.40140800000000004;0.307634397570367
12;Bottleneck: 3-4;Conv2d: 4-29;0.8028160000000001;0.6283907730945544
13;Bottleneck: 3-4;Conv2d: 4-32;0.903168;0.5515360314617093
14;Bottleneck: 3-4;Conv2d: 4-35;0.40140800000000004;0.3721108533945374
15;Bottleneck: 3-4;Conv2d: 5-3;0.8028160000000001;0.730799363445715
16;Bottleneck: 3-5;Conv2d: 4-39;0.40140800000000004;0.28660924307005753
17;Bottleneck: 3-5;Conv2d: 4-42;0.903168;0.5189216277837894
18;Bottleneck: 3-5;Conv2d: 4-45;0.40140800000000004;0.3721108533945374
19;Bottleneck: 3-6;Conv2d: 4-48;0.40140800000000004;0.28660924307005753
20;Bottleneck: 3-6;Conv2d: 4-51;0.903168;0.5189216277837894
21;Bottleneck: 3-6;Conv2d: 4-54;0.40140800000000004;0.3721108533945374
22;Bottleneck: 3-7;Conv2d: 4-57;0.40140800000000004;0.28660924307005753
23;Bottleneck: 3-7;Conv2d: 4-60;0.903168;0.5189216277837894
24;Bottleneck: 3-7;Conv2d: 4-63;0.40140800000000004;0.3721108533945374
25;Bottleneck: 3-8;Conv2d: 4-66;0.8028160000000001;0.543139522069715
26;Bottleneck: 3-8;Conv2d: 4-69;3.612672;2.0635500227946775
27;Bottleneck: 3-8;Conv2d: 4-72;1.6056320000000002;1.4104140268107899
28;Bottleneck: 3-8;Conv2d: 5-5;3.2112640000000003;2.77490569190894
29;Bottleneck: 3-9;Conv2d: 4-76;1.6056320000000002;1.4174333709848699
30;Bottleneck: 3-9;Conv2d: 4-79;3.612672;2.0635500227946775
31;Bottleneck: 3-9;Conv2d: 4-82;1.6056320000000002;1.4104140268107899
32;Bottleneck: 3-10;Conv2d: 4-85;1.6056320000000002;1.4174333709848699
33;Bottleneck: 3-10;Conv2d: 4-88;3.612672;2.0635500227946775
34;Bottleneck: 3-10;Conv2d: 4-91;1.6056320000000002;1.4104140268107899
35;Bottleneck: 3-11;Conv2d: 4-94;1.6056320000000002;1.4174333709848699
36;Bottleneck: 3-11;Conv2d: 4-97;3.612672;2.0635500227946775
37;Bottleneck: 3-11;Conv2d: 4-100;1.6056320000000002;1.4104140268107899
38;Bottleneck: 3-12;Conv2d: 4-103;1.6056320000000002;1.4174333709848699
39;Bottleneck: 3-12;Conv2d: 4-106;3.612672;2.0635500227946775
40;Bottleneck: 3-12;Conv2d: 4-109;1.6056320000000002;1.4104140268107899
41;Bottleneck: 3-13;Conv2d: 4-112;1.6056320000000002;1.4174333709848699
42;Bottleneck: 3-13;Conv2d: 4-115;3.612672;2.0635500227946775
43;Bottleneck: 3-13;Conv2d: 4-118;1.6056320000000002;1.4104140268107899
44;Bottleneck: 3-14;Conv2d: 4-121;3.2112640000000003;2.7649559321034993
45;Bottleneck: 3-14;Conv2d: 4-124;14.450688;8.229927114497748
46;Bottleneck: 3-14;Conv2d: 4-127;6.422528000000001;5.48559733370844
47;Bottleneck: 3-14;Conv2d: 5-7;12.845056000000001;10.850091298815281
48;Bottleneck: 3-15;Conv2d: 4-131;6.422528000000001;5.51048092772316
49;Bottleneck: 3-15;Conv2d: 4-134;14.450688;8.229927114497748
50;Bottleneck: 3-15;Conv2d: 4-137;6.422528000000001;5.48559733370844
51;Bottleneck: 3-16;Conv2d: 4-140;6.422528000000001;5.51048092772316
52;Bottleneck: 3-16;Conv2d: 4-143;14.450688;8.229927114497748
53;Bottleneck: 3-16;Conv2d: 4-146;6.422528000000001;5.48559733370844
54;Conv2d: 2-9;Conv2d: 2-9;57.802752;32.846889527948115
55;Conv2d: 2-13;Conv2d: 2-13;0.087808;0.09940196671941506
