No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.26992;23.091690000110923;1.4701716;0;0;0;2.450286;1.4701716;20.641404000110924;0.0;0
2;BasicConv2d: 1-1;[1, 64, 112, 112];0;14.297166;8.418407320447528;1.229312;0;0.5776949204475289;13.067854;7.8407124;0;0;0
3;MaxPool2d: 1-2;[1, 64, 56, 56];0;4.49635;2.537917720447529;1.229312;0;0.5776949204475289;3.267038;1.9602228;0;0;0
4;BasicConv2d: 1-3;[1, 64, 56, 56];0;4.596702;2.6279345966900407;1.329664;0;0.6677117966900407;3.267038;1.9602228;0;0;0
5;BasicConv2d: 1-4;[1, 192, 56, 56];0;13.840014;8.395070471327042;4.039168;0;2.514562871327042;9.800846;5.8805076;0;0;0
6;MaxPool2d: 1-5;[1, 192, 28, 28];0.42718;25.901792714115324;3.984734471327042;4.039168;0;2.514562871327042;2.450286;1.4701716;19.41233871411532;0.0;0
7;Inception: 1-6;[1, 256, 28, 28];0;8.256414;5.123893294280506;4.989376;0;3.163670494280506;3.267038;1.9602228;0;0;0
8;Inception: 1-7;[1, 480, 28, 28];0;13.190974;8.217927132306581;7.065408000000001;0;4.54258753230658;6.125566;3.6753396;0;0;0
9;MaxPool2d: 1-8;[1, 480, 14, 14];0.48134;22.285997477856487;5.46149833230658;7.065408000000001;0;4.54258753230658;1.531518;0.9189108;13.689071477856487;0.0;0
10;Inception: 1-9;[1, 512, 14, 14];0.4887;21.14644892966175;5.911478128221572;7.685160000000001;0;4.931357728221572;1.633534;0.9801204;11.82775492966175;0.0;0
11;Inception: 1-10;[1, 512, 14, 14];0.53088;19.63095109806499;6.356833901573397;8.334312;0;5.376713501573398;1.633534;0.9801204;9.663105098064989;0.0;0
12;Inception: 1-11;[1, 512, 14, 14];0.5433;18.430812266316504;6.854050000863437;9.076760000000002;0;5.873929600863438;1.633534;0.9801204;7.720518266316503;0.0;0
13;Inception: 1-12;[1, 528, 14, 14];0.56736;17.373720721940252;7.462336488363881;9.952488000000002;0;6.451611288363882;1.684542;1.0107252;5.736690721940249;0.0;0
14;Inception: 1-13;[1, 832, 14, 14];0.59226;17.402799807971896;8.863925167010475;11.180232000000002;0;7.271209567010475;2.6545259999999997;1.5927155999999998;3.5680418079718947;0.0;0
15;MaxPool2d: 1-14;[1, 832, 7, 7];0.59226;15.323093745892646;7.669464367010475;11.180232000000002;0;7.271209567010475;0.6637580000000001;0.3982548;3.479103745892644;0.0;0
16;Inception: 1-15;[1, 832, 7, 7];0.61082;14.216934815957577;7.944228113657079;11.554200000000002;0;7.545973313657079;0.6637580000000001;0.3982548;1.9989768159575763;0.0;0
17;Inception: 1-16;[1, 1024, 7, 7];0.62446;13.001249110043675;8.408030896236747;12.068896;0;7.9179616962367465;0.816782;0.49006920000000004;0.11557111004367471;0.0;0
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];0.62446;12.1745924200902;7.928059696236747;12.068896;0;7.9179616962367465;0.016829999999999998;0.010098;0.08886642009019852;0.0;0
19;Linear: 1-19;[1, 1000];0.62446;12.087916699930847;7.927829296236746;12.068896;0;7.9179616962367465;0.016446000000000002;0.0098676;0.002574699930846691;0.0;0
